## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/aligned/NIST7086.merged.bam --OUTPUT results/aligned/NIST7086.dedup.bam --METRICS_FILE results/aligned/NIST7086.dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Sep 22 13:36:37 IST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	903938	11093873	220170	58926894	423620	1485173	606	0.146978	37659920

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000047	8604815	0	8605288
2.0	1.744926	789172	606	788791
3.0	2.299745	132128	0	132057
4.0	2.712998	38810	0	38796
5.0	3.020808	16457	0	16452
6.0	3.250078	8590	0	8589
7.0	3.420848	5041	0	5044
8.0	3.548045	3206	0	3203
9.0	3.642788	2254	0	2254
10.0	3.713356	1600	0	1600
11.0	3.765918	1134	0	1134
12.0	3.805069	895	0	894
13.0	3.83423	684	0	684
14.0	3.85595	547	0	547
15.0	3.872129	415	0	415
16.0	3.884179	350	0	350
17.0	3.893155	287	0	287
18.0	3.89984	229	0	229
19.0	3.90482	206	0	206
20.0	3.908529	181	0	181
21.0	3.911292	166	0	166
22.0	3.913349	143	0	143
23.0	3.914882	130	0	130
24.0	3.916024	105	0	106
25.0	3.916874	94	0	93
26.0	3.917508	103	0	103
27.0	3.917979	75	0	75
28.0	3.918331	67	0	67
29.0	3.918592	55	0	55
30.0	3.918787	59	0	59
31.0	3.918933	45	0	45
32.0	3.919041	29	0	29
33.0	3.919121	40	0	40
34.0	3.919181	49	0	49
35.0	3.919226	31	0	31
36.0	3.919259	30	0	30
37.0	3.919284	25	0	25
38.0	3.919303	30	0	30
39.0	3.919316	20	0	21
40.0	3.919327	26	0	25
41.0	3.919334	21	0	21
42.0	3.91934	29	0	29
43.0	3.919344	17	0	17
44.0	3.919347	8	0	8
45.0	3.91935	15	0	15
46.0	3.919351	20	0	20
47.0	3.919353	14	0	14
48.0	3.919354	13	0	13
49.0	3.919354	12	0	12
50.0	3.919355	8	0	8
51.0	3.919355	11	0	11
52.0	3.919356	7	0	7
53.0	3.919356	5	0	5
54.0	3.919356	9	0	9
55.0	3.919356	8	0	8
56.0	3.919356	6	0	6
57.0	3.919356	6	0	6
58.0	3.919356	5	0	5
59.0	3.919356	11	0	11
60.0	3.919356	5	0	5
61.0	3.919356	9	0	9
62.0	3.919356	5	0	5
63.0	3.919356	7	0	7
64.0	3.919356	8	0	8
65.0	3.919356	6	0	6
66.0	3.919356	7	0	7
67.0	3.919356	4	0	4
68.0	3.919356	3	0	3
69.0	3.919356	4	0	4
70.0	3.919356	6	0	6
71.0	3.919356	0	0	0
72.0	3.919356	4	0	4
73.0	3.919356	3	0	3
74.0	3.919356	4	0	4
75.0	3.919356	4	0	4
76.0	3.919356	1	0	1
77.0	3.919356	1	0	1
78.0	3.919356	4	0	4
79.0	3.919356	1	0	1
80.0	3.919356	1	0	1
81.0	3.919356	2	0	2
82.0	3.919356	6	0	6
83.0	3.919356	1	0	1
84.0	3.919356	5	0	5
85.0	3.919356	2	0	2
86.0	3.919356	1	0	1
87.0	3.919356	1	0	1
88.0	3.919356	1	0	1
89.0	3.919356	2	0	2
90.0	3.919356	1	0	1
91.0	3.919356	3	0	3
92.0	3.919356	1	0	1
93.0	3.919356	0	0	0
94.0	3.919356	1	0	1
95.0	3.919356	1	0	1
96.0	3.919356	1	0	1
97.0	3.919356	2	0	2
98.0	3.919356	0	0	0
99.0	3.919356	0	0	0
100.0	3.919356	1	0	1
101.0	0	1	0	1
102.0	0	1	0	1
103.0	0	2	0	2
105.0	0	2	0	2
106.0	0	1	0	1
107.0	0	1	0	1
108.0	0	2	0	2
109.0	0	2	0	2
111.0	0	2	0	2
115.0	0	1	0	1
119.0	0	1	0	1
121.0	0	1	0	1
130.0	0	1	0	1
137.0	0	1	0	1
145.0	0	1	0	1
156.0	0	1	0	1
157.0	0	1	0	1
173.0	0	1	0	1
176.0	0	1	0	1
185.0	0	1	0	1
194.0	0	3	0	3
195.0	0	1	0	1
199.0	0	1	0	1
204.0	0	1	0	1
211.0	0	1	0	1
213.0	0	1	0	1

